model_name,accuracy,balanced_accuracy,recall,f1,roc
bagging,0.9759519038076152,0.9463612838317887,0.9759519038076152,0.9759036219258133,0.9985644382407841
bagging,0.969939879759519,0.9285226807171121,0.969939879759519,0.9699188578879739,0.9984422024878942
bagging,0.9719438877755511,0.9155920530625579,0.9719438877755511,0.9719453605755266,0.9927988730494516
rf,0.9739478957915831,0.9452214137914939,0.9739478957915831,0.9738981411098058,0.9981377738228209
rf,0.9719438877755511,0.9439508580140954,0.9719438877755511,0.9718959331826327,0.9985210563509773
rf,0.9719438877755511,0.9297932364945106,0.9719438877755511,0.9719233202607137,0.9967823784101816
extra_trees,0.9779559118236473,0.9606469981175032,0.9779559118236473,0.9779463735905676,0.9987240148833237
extra_trees,0.9739478957915831,0.945134289966758,0.9739478957915831,0.9738995958194574,0.9988754653050312
extra_trees,0.9799599198396793,0.9618739919825338,0.9799599198396793,0.9799500724476423,0.9983947349214684
ada_boost,0.6172344689378757,0.3985714285714286,0.6172344689378757,0.4963603485889994,0.7870034983455697
ada_boost,0.6172344689378757,0.3985714285714286,0.6172344689378757,0.4963603485889994,0.7870034983455697
ada_boost,0.6332665330661322,0.5989010989010989,0.6332665330661322,0.5189702637598429,0.7145205052423412
grad_boost,0.9679358717434869,0.9012218079230822,0.9679358717434869,0.9677369254931565,0.9990640768458717
grad_boost,0.969939879759519,0.9155075222087964,0.969939879759519,0.9698584098411629,0.9989898052607952
grad_boost,0.9679358717434869,0.9273828106768173,0.9679358717434869,0.967915595138904,0.998318174992285
